step	train_loss	val_loss	roc_auc_macro
500	0.052900	0.053372	0.972072
1000	0.051500	0.054084	0.951450
1500	0.041300	0.043965	0.978631
2000	0.048100	0.041661	0.979267
2500	0.045700	0.041958	0.981492
3000	0.040400	0.040516	0.982477
3500	0.041200	0.041125	0.983520
4000	0.039400	0.039192	0.984265
4500	0.040000	0.039804	0.986269
5000	0.033600	0.041429	0.986575
5500	0.037100	0.040820	0.986918
6000	0.035700	0.040300	0.988555
6500	0.035200	0.038264	0.988464
7000	0.035000	0.040439	0.989361
7500	0.037800	0.037639	0.989270
8000	0.035100	0.038501	0.989355
8500	0.033500	0.039275	0.989596
9000	0.032100	0.038811	0.989480
9500	0.030900	0.037561	0.990580
10000	0.031200	0.037101	0.990417
10500	0.030900	0.037878	0.990774
11000	0.028300	0.037178	0.990645
11500	0.031500	0.037548	0.990757
